fixture_id,ground_truth_present,projection_count,directions,status
SYN-01,False,2,LOWER|UPPER,FAIL
SYN-02,True,2,UPPER|UPPER,PASS
SYN-03,True,2,UPPER|UPPER,PASS
SYN-04,True,2,UPPER|UPPER,PASS
SYN-05,True,2,UPPER|UPPER,PASS
SYN-06,True,2,UPPER|UPPER,PASS
SYN-07,True,2,UPPER|UPPER,PASS
SYN-08,True,2,UPPER|UPPER,PASS
SYN-09,True,2,UPPER|UPPER,PASS
SYN-10,True,2,UPPER|UPPER,PASS
SYN-11,True,2,UPPER|UPPER,PASS
SYN-12,True,2,UPPER|UPPER,PASS
SYN-13,True,2,UPPER|UPPER,PASS
SYN-14,True,2,UPPER|UPPER,PASS
SYN-15,True,2,UPPER|UPPER,PASS
SYN-16,True,2,UPPER|UPPER,PASS
SYN-17,True,2,LOWER|UPPER,FAIL
SYN-18,False,2,LOWER|UPPER,FAIL
SYN-19,True,2,UPPER|UPPER,PASS
SYN-20,True,2,UPPER|UPPER,PASS
SYN-21,False,2,UPPER|UPPER,PASS
SYN-22,True,2,UPPER|UPPER,PASS
SYN-23,True,2,UPPER|UPPER,PASS
SYN-24,True,2,UPPER|UPPER,PASS
SYN-25,False,2,LOWER|UPPER,FAIL
